mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1.3700098752975465,0.2823808680685346,0.16002945899963378,0.06728504928907174,61000.0,{'ccp_alpha': 61000.0},-4348.5176717605245,-4945.186643126815,-5288.498091578586,-4688.834666270707,-5253.541579779741,-4230.9003769145975,-5233.093322209159,-5406.914884999229,-4000.2995906703277,-5449.208092807482,-4884.499492011717,505.0726354556612,940
1.5027863740921021,0.28378401682830856,0.20629940032958985,0.07647440037346742,62000.0,{'ccp_alpha': 62000.0},-4344.366593405601,-4943.765601218336,-5289.587801869282,-4685.273181234803,-5252.263447525345,-4231.493477650193,-5233.178728295913,-5407.776855409516,-3995.5315023117123,-5446.660723341371,-4882.989791226207,506.19895465424776,939
1.4933804988861084,0.2341517966029078,0.29167771339416504,0.2534856801671021,63000.0,{'ccp_alpha': 63000.0},-4342.8587365876165,-4942.881659812396,-5288.8675673987,-4683.090060476701,-5252.919137753223,-4230.677359360526,-5231.391197515976,-5407.764125516208,-3986.1994058257405,-5445.239949730397,-4881.188919997749,507.88600496447134,938
1.5606574296951294,0.33030495028960943,0.3487513303756714,0.13982692637098837,64000.0,{'ccp_alpha': 64000.0},-4340.586805377737,-4941.077062484775,-5286.449300050063,-4682.114012339952,-5251.230720656951,-4230.1542645607515,-5232.364872669692,-5405.832374241042,-3979.1821020479742,-5442.19253483343,-4879.118404926237,508.6604836461845,937
1.5109738111495972,0.17634131684288246,0.2769181251525879,0.09454725934800362,65000.0,{'ccp_alpha': 65000.0},-4339.372167341851,-4940.135343368789,-5285.309700865862,-4680.500500418637,-5249.925892313225,-4229.029924341749,-5232.10450920653,-5406.179943704048,-3972.0408452647825,-5441.337999937898,-4877.593682676337,509.98559919798487,936
1.537389063835144,0.221696945245042,0.19147040843963622,0.09712803163197767,66000.0,{'ccp_alpha': 66000.0},-4338.077724123912,-4940.1067809470205,-5282.988058614142,-4678.8410129532385,-5248.233431481813,-4229.753568807468,-5229.74773594571,-5403.9214942672,-3968.1979885529513,-5440.443054438382,-4876.031085013183,509.97178220378123,935
1.42536518573761,0.33340493337100635,0.2961998224258423,0.14981806713647686,67000.0,{'ccp_alpha': 67000.0},-4338.484185469821,-4938.939384712154,-5281.537064209781,-4676.698469677939,-5248.41947144433,-4230.116249445646,-5228.216056080685,-5403.130953785778,-3968.0737841400733,-5438.885983046719,-4875.250160201292,509.51116992218346,934
1.5290488004684448,0.3672483391149201,0.24920783042907715,0.1625635923410036,68000.0,{'ccp_alpha': 68000.0},-4337.378196535286,-4938.738187607038,-5280.356859878285,-4673.821325832844,-5246.719457614696,-4231.871325321937,-5226.307255482717,-5404.223209710894,-3961.3242490145735,-5438.708654054577,-4873.944872105285,510.46354770641636,933
1.5686803340911866,0.19965554040044653,0.2588491916656494,0.0880849823120486,69000.0,{'ccp_alpha': 69000.0},-4335.810530705737,-4937.277338606867,-5280.000102994462,-4670.329424013006,-5247.554778891397,-4229.295466009807,-5224.110259263169,-5402.794366927899,-3957.0730521363603,-5437.411912766782,-4872.165723231548,511.420752821425,932
1.407729411125183,0.14883702022869316,0.23849146366119384,0.19530617711432482,70000.0,{'ccp_alpha': 70000.0},-4335.322547948856,-4937.732552229859,-5277.749587633858,-4666.1417082861835,-5245.050034057237,-4229.119227611263,-5222.576726139392,-5401.988501718168,-3955.1103048062055,-5435.596907022856,-4870.638809745387,511.2648380972106,931
1.4266934871673584,0.24142878769313472,0.26031038761138914,0.12259972244345413,71000.0,{'ccp_alpha': 71000.0},-4334.7395029689,-4936.533846004425,-5274.738912548657,-4662.581117038182,-5243.314124057904,-4231.130148779092,-5221.0776254539305,-5400.799059631135,-3950.547179152299,-5435.920160763407,-4869.138167639794,511.46257791545554,930
1.3935063123703002,0.1852219436500215,0.31016876697540285,0.1384743462342471,72000.0,{'ccp_alpha': 72000.0},-4331.652230510984,-4933.241820256146,-5273.574891405176,-4657.0402600446705,-5243.4772383672735,-4232.160848307748,-5218.890071128424,-5396.5017704635275,-3942.6391487972796,-5434.551698863047,-4866.372997814427,512.4334139363726,929
1.4914641857147217,0.2381488075284582,0.2684813976287842,0.15498915914720635,73000.0,{'ccp_alpha': 73000.0},-4328.349550499277,-4934.969579541695,-5273.6086901376475,-4654.392282360817,-5241.316477318611,-4232.493425037008,-5216.770591209047,-5397.055794374267,-3937.5604236070158,-5432.6214004667045,-4864.9138214552095,513.3272682115984,928
1.4134409427642822,0.27964224949802946,0.24576115608215332,0.10741270304807339,74000.0,{'ccp_alpha': 74000.0},-4325.270806541378,-4934.015571462371,-5272.580826735219,-4652.022122581173,-5240.170356245611,-4233.0003559831775,-5216.987618395023,-5397.096396292406,-3934.9734498414614,-5429.974000282651,-4863.609150436047,513.6999438418753,927
1.5807844400405884,0.3810955502149864,0.27560245990753174,0.284070489698037,75000.0,{'ccp_alpha': 75000.0},-4324.18162269391,-4930.064652075137,-5271.151949786605,-4651.095221279967,-5238.70603942761,-4232.709805467098,-5213.247076070567,-5400.751646319233,-3932.163817755601,-5427.870587877889,-4862.194241875362,514.0149270405227,926
1.3328723192214966,0.29412008481927976,0.20333609580993653,0.08280230038629376,76000.0,{'ccp_alpha': 76000.0},-4320.382128819245,-4928.555038148517,-5269.982703368932,-4647.835629758736,-5236.853081948879,-4233.66008286416,-5212.211203725041,-5400.580820324351,-3930.2634795174813,-5427.129150775689,-4860.7453319251035,514.3565869803324,925
1.376483392715454,0.27368507763473293,0.20228056907653807,0.129794334408977,77000.0,{'ccp_alpha': 77000.0},-4318.930811995134,-4924.684648034016,-5266.920034841279,-4643.768494510665,-5237.016320224219,-4233.391344656147,-5208.233402821064,-5400.848482000981,-3928.324526098944,-5425.455393871141,-4858.757345905358,514.3526799624964,924
1.3968032598495483,0.1432201324154701,0.23298978805541992,0.09551534723798642,78000.0,{'ccp_alpha': 78000.0},-4317.702983052109,-4921.477882259807,-5262.871787544656,-4641.270757174092,-5235.530584360614,-4231.75016545544,-5203.676843269793,-5400.850629248417,-3926.286427023467,-5424.083487350322,-4856.5501546738715,514.2237058277561,923
